,Brand,Manufacturer,Part Number,Item Weight,Package Dimensions,Country of Origin,Item model number,Batteries,Color,Style,Item Package Quantity,Display Style,Special Features,Included Components,Batteries Included?,Batteries Required?,Battery Cell Type,Description Pile,Battery Capacity,Warranty Description,rating,price,ASIN,Date First Available,Memory Storage Capacity,Standing screen display size,Ram Memory Installed Size,Product Dimensions,Max Screen Resolution,RAM,Average Battery Life (in hours),Is Discontinued By Manufacturer,OS,Wireless communication technologies,Connectivity technologies,Other display features,Other camera features,Form Factor,Battery Power Rating,Whats in the box,Weight,Charging Time,GPS,Human Interface Input,Special features,Display technology,Scanner Resolution,Audio Jack,Phone Talk Time,Phone Standby Time (with data),Department,Display resolution,Language,Units,Number Of Items
0,"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",‎OnePlus,‎CPH2513,‎1.04 pounds,‎7.36 x 3.86 x 2.44 inches,‎China,‎CPH2513,‎1 Lithium Ion batteries required. (included),‎Chromatic Gray,‎N30,‎1,‎AMOLED,‎Dual SIM,"‎OnePlus Nord N30 5G, Charger Adapter, Type-C Cable, Welcome Start Guide, SIM Tray Ejector",‎Yes,‎Yes,‎Lithium Ion,‎Lithium-Ion,‎5000,‎1 year manufacturer,4.34.3,299.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SAMSUNG Galaxy S23+ Plus Cell Phone,SAMSUNG,,196 Grams,6.85 x 3.7 x 1.06 inches,Vietnam,SM-S916UZGAXAA,1 Lithium Ion batteries required. (included),,,,,,,,,,,4700 Milliamp Hours,,4.64.6,999.,B0BLP46D6W,"February 1, 2023",256 GB,6.6 Inches,8 Gigabytes Per Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,Motorola,,0.01 Pounds,,China,PAN00015US,,,,,,,,,,,,5000,,4.34.3,149.,B0BFYRV4CD,"September 20, 2022",4 GB,6.8 Inches,4 GB,6.64 x 2.98 x 0.36 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,,,,,,,,,,,,,,,,,,,,4.14.1,109.,,,,‎6.5 Inches,,,‎HD+ (1600x720) | 269ppi,‎3 GB,‎3 days,,,,,,,,,,,,,,,,,,,,,,,,
4,Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,Motorola,,216 Grams,,China,PAT40001US,,,,,,,,,,,,5000 Milliamp Hours,,4.34.3,129.,B09PFC2DVD,"February 3, 2022",6 GB,6.8 Inches,6 GB,6.69 x 2.99 x 0.35 inches,,,,No,,,,,,,,,,,,,,,,,,,,,,,
5,BLU G61S | 2023 | 3-Day Battery | Unlocked| 6.5” HD+ Display | US Warranty| 64/4GB | (Bronze),BLU,,5.8 ounces,,,G0630WW,1 Lithium Ion batteries required. (included),Bronze,,,,,,,,,,5000 Milliamp Hours,,4.04.0,,B0BCH4FL86,"August 30, 2022",64 GB,6.5 Inches,4 GB,9.25 x 6.75 x 3.25 inches,,4,,,Android 11.0,Cellular,Wi-Fi,Wireless,Front,Smartphone,5000 Milliamp Hours,"Adapter, Phone Case",0.36 Pounds,,,,,,,,,,,,,,
6,SAMSUNG Galaxy Z Fold 4 Cell Phone,Samsung,,9.3 ounces,,,,,Graygreen,,,,,,,,,,4400 Milliamp Hours,,4.64.6,575.,B0B7RC5GJ7,"August 10, 2022",512 GB,7.6 Inches,12 GB,,,,,,Android,,"Bluetooth, USB",Wireless,"Rear, Front",Fold,,"SIM Card Ejector, USB Cable",263 Grams,83 minutes,,,,,,,,,,,,,
7,Total by Verizon TCL 30 Z,ALCATEL,,12.8 ounces,,China,TVALT602DCP,1 Lithium Ion batteries required. (included),BLACK,,,,,,,,,,3 Milliamp Hours,,4.14.1,39.,B0BBXBXCFC,"September 26, 2022",32 GB,6.1 Inches,3 GB,1.5 x 6.31 x 8.25 inches,,3 GB,,,Android 12.0,Cellular,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Smartphone,3000 Milliampere Hour (mAh),"User Manual, Service Guide, Charger, USB Cable",0.8 Pounds,,True,Touchscreen,,,,,,,,,,,
8,SAMSUNG Galaxy A54 5G A Series Cell Phone,SAMSUNG,,202 Grams,,Vietnam,SM-A546ULVBXAA,1 Lithium Ion batteries required. (included),,,,,,,,,,,4.9,,4.64.6,399.,B0BSLRXF1H,"April 6, 2023",128 GB,6.4 Inches,6 GB,0.32 x 3.02 x 6.23 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Harbor Gray,Motorola,,189 Grams,,China,PAXD0011US,,,,,,,,,,,,5000,,4.14.1,199.,B0C2SP2L4K,"May 25, 2023",4 GB,6.5 Inches,6 GB,6.45 x 2.95 x 0.33 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,
