,Brand,Manufacturer,Item Weight,Country of Origin,Item model number,Batteries,Color,Battery Capacity,rating,price,ASIN,Date First Available,Memory Storage Capacity,Standing screen display size,Ram Memory Installed Size,Product Dimensions,RAM,OS,Connectivity technologies,Other display features,Other camera features,Form Factor,Whats in the box,Weight,Charging Time,
0,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,?OnePlus,?1.04 pounds,?China,?CPH2513,?1 Lithium Ion batteries required. (included),?Chromatic Gray,?5000,4.34.3,299,,,,,,,,,,,,,,,,
1,SAMSUNG Galaxy S23+ Plus Cell Phone,SAMSUNG,196 Grams,Vietnam,SM-S916UZGAXAA,1 Lithium Ion batteries required. (included),,4700 Milliamp Hours,4.64.6,999,B0BLP46D6W,1-Feb-23,256 GB,6.6 Inches,8 Gigabytes Per Second,,,,,,,,,,,
2,Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,Motorola,0.01 Pounds,China,PAN00015US,,,5000,4.34.3,149,B0BFYRV4CD,20-Sep-22,4 GB,6.8 Inches,4 GB,6.64 x 2.98 x 0.36 inches,,,,,,,,,,
3,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,,,,,,,,4.14.1,109,,,,?6.5 Inches,,,?3 GB,,,,,,,,,
4,Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,Motorola,216 Grams,China,PAT40001US,,,5000 Milliamp Hours,4.34.3,129,B09PFC2DVD,3-Feb-22,6 GB,6.8 Inches,6 GB,6.69 x 2.99 x 0.35 inches,,,,,,,,,,
5,BLU G61S | 2023 | 3-Day Battery | Unlocked| 6.5” HD+ Display | US Warranty| 64/4GB | (Bronze),BLU,5.8 ounces,,G0630WW,1 Lithium Ion batteries required. (included),Bronze,5000 Milliamp Hours,4.04.0,,B0BCH4FL86,30-Aug-22,64 GB,6.5 Inches,4 GB,9.25 x 6.75 x 3.25 inches,4,Android 11.0,Wi-Fi,Wireless,Front,Smartphone,"Adapter, Phone Case",0.36 Pounds,,
6,SAMSUNG Galaxy Z Fold 4 Cell Phone,Samsung,9.3 ounces,,,,Graygreen,4400 Milliamp Hours,4.64.6,575,B0B7RC5GJ7,10-Aug-22,512 GB,7.6 Inches,12 GB,,,Android,"Bluetooth, USB",Wireless,"Rear, Front",Fold,"SIM Card Ejector, USB Cable",263 Grams,83 minutes,
7,Total by Verizon TCL 30 Z,ALCATEL,12.8 ounces,China,TVALT602DCP,1 Lithium Ion batteries required. (included),BLACK,3 Milliamp Hours,4.14.1,39,B0BBXBXCFC,26-Sep-22,32 GB,6.1 Inches,3 GB,1.5 x 6.31 x 8.25 inches,3 GB,Android 12.0,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Smartphone,"User Manual, Service Guide, Charger, USB Cable",0.8 Pounds,,
8,SAMSUNG Galaxy A54 5G A Series Cell Phone,SAMSUNG,202 Grams,Vietnam,SM-A546ULVBXAA,1 Lithium Ion batteries required. (included),,4.9,4.64.6,399,B0BSLRXF1H,"April 6, 2023",128 GB,6.4 Inches,6 GB,0.32 x 3.02 x 6.23 inches,,,,,,,,,,
9,Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Harbor Gray,Motorola,189 Grams,China,PAXD0011US,,,5000,4.14.1,199,B0C2SP2L4K,25-May-23,4 GB,6.5 Inches,6 GB,6.45 x 2.95 x 0.33 inches,,,,,,,,,,
